I2LT	Type D
0x00000000000000000000000001000000010000003004000000000000	I2Languages
0x000000000000000001000000
MainText	5127
"PH_Localization/KEY_ATTACHMENT_LOCKED"	"0x00000000"	"[null]"	"9"	"#NOT AVAILABLE"	"#NOT AVAILABLE"	"#NOT AVAILABLE"	"#NOT AVAILABLE"	"#NON DISPONIBILE"	"#NOT AVAILABLE"	"#NOT AVAILABLE"	"#NOT AVAILABLE"	"#NON DISPONIBILE"	"9"	"0x000000000000000000000000"	"KEY_ATTACHMENT_LOCKED"	"0x00000000"
"PH_Localization/KEY_BACK"	"0x00000000"	"[null]"	"9"	"Back"	"返回"	"Retour"	"Zurück"	"Indietro"	"Wstecz"	"Назад"	"Atrás"	"Indietro"	"9"	"0x000000000000000000000000"	"KEY_BACK"	"0x00000000"
"PH_Localization/KEY_BAVE"	"0x00000000"	"[null]"	"9"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"NEEDS TEXT"	"9"	"0x000000000000000000000000"	"KEY_BAVE"	"0x00000000"
"PH_Localization/KEY_DAMAGE_TYPE"	"0x00000000"	"[null]"	"9"	"DAMAGE TYPE"	"伤害类型"	"TYPE DE DÉGÂTS"	"SCHADENSART"	"TIPO DI DANNI"	"RODZAJ OBRAŻEŃ"	"ТИП УРОНА"	"TIPO DE DAÑO"	"TYPE DE DÉGÂTS"	"9"	"0x000000000000000000000000"	"KEY_DAMAGE_TYPE"	"0x00000000"
"PH_Localization/KEY_DUMMY"	"0x00000000"	"[null]"	"9"	"#Dummy"	"#Dummy"	"#Dummy"	"#Dummy"	"#BERSAGLIO"	"#Dummy"	"#Dummy"	"#Dummy"	"#BERSAGLIO"	"9"	"0x000000000000000000000000"	"KEY_DUMMY"	"0x00000000"
"PH_Localization/KEY_ENABLED"	"0x00000000"	"[null]"	"9"	"#ENABLED"	"#ENABLED"	"#ENABLED"	"#ENABLED"	"#ENABLED"	"#ENABLED"	"#ENABLED"	"#ENABLED"	"ВЪЗСТАНОВЕНА"	"9"	"0x000000000000000000000000"	"KEY_ENABLED"	"0x00000000"
"PH_Localization/KEY_ENVIRONMENT"	"0x00000000"	"[null]"	"9"	"#ENVIRONMENT"	"#ENVIRONMENT"	"#ENVIRONMENT"	"#ENVIRONMENT"	"AMBIENTE"	"#ENVIRONMENT"	"#ENVIRONMENT"	"#ENVIRONMENT"	"#ENVIRONMENT"	"9"	"0x000000000000000000000000"	"KEY_ENVIRONMENT"	"0x00000000"
"PH_Localization/KEY_GEOSCAPE_NO_PRODUCTION"	"0x00000000"	"[null]"	"9"	"NO ITEMS AVAILABLE"	"无可用物品"	"AUCUN OBJET DISPONIBLE"	"KEINE GEGENSTÄNDE VERFÜGBAR"	"NESSUN OGGETTO DISPONIBILE"	"BRAK DOSTĘPNYCH PRZEDMIOTÓW"	"НЕТ ДОСТУПНЫХ ПРЕДМЕТОВ"	"NO HAY OBJETOS DISPONIBLES"	"KEINE GEGENSTÄNDE VERFÜGBAR"	"9"	"0x000000000000000000000000"	"KEY_GEOSCAPE_NO_PRODUCTION"	"0x00000000"
"PH_Localization/KEY_GEOSCAPE_NO_RESOURCES"	"0x00000000"	"[null]"	"9"	"NOT ENOUGH RESOURCES"	"资源不足"	"RESSOURCES INSUFFISANTES"	"NICHT GENÜGEND RESSOURCEN"	"RISORSE INSUFFICIENTI"	"ZA MAŁO ZASOBÓW"	"НЕДОСТАТОЧНО РЕСУРСОВ"	"NO HAY RECURSOS SUFICIENTES"	"NO HAY RECURSOS SUFICIENTES"	"9"	"0x000000000000000000000000"	"KEY_GEOSCAPE_NO_RESOURCES"	"0x00000000"
"PH_Localization/KEY_GEOSCAPE_PRODUCED"	"0x00000000"	"[null]"	"9"	"TOTAL PRODUCED"	"总产量"	"PRODUCTION TOTALE"	"INSGESAMT PRODUZIERT"	"TOTALE PRODOTTO"	"ŁĄCZNIE WYPRODUKOWANO"	"ВСЕГО ПРОИЗВЕДЕНО"	"TOTAL PRODUCIDO"	"ŁĄCZNIE WYPRODUKOWANO"	"9"	"0x000000000000000000000000"	"KEY_GEOSCAPE_PRODUCED"	"0x00000000"
