I2LT	Type D
0x00000000000000000000000001000000010000000B04000000000000	I2Languages_GeoEvents
0x000000000000000001000000
MainText	2679
"Ambush/EXPSITE_02_TEXT_GENERAL_0"	"0x00000000"	"[null]"	"10"	"After several hours of exploration, nothing useful was found."	"[null]"	"[null]"	"经过几个小时的探索，没有发现任何有用的东西。"	"Après quelques heures d'exploration, rien d'utile n'a été découvert."	"Tras varias horas de exploración, no se ha encontrado nada útil."	"Dopo molte ore di esplorazione non abbiamo trovato nulla di utile."	"Nach stundenlangen Erkundungen wurde nichts Nützliches entdeckt."	"После нескольких часов исследований ничего существенного не было найдено."	"Po kilku godzinach poszukiwań nie udało się nam znaleźć nic przydatnego."	"10"	"0x000000000000000000000000"	"EXPSITE_02_TEXT_GENERAL_0"	"0x00000000"
"Ambush/EXPSITE_02_TITLE"	"0x00000000"	"[null]"	"10"	"NOTHING FOUND"	"[null]"	"[null]"	"什么也没发现"	"AUCUN RÉSULTAT"	"NO SE HA ENCONTRADO NADA"	"RICERCA VANA"	"NICHTS GEFUNDEN"	"НИЧЕГО НЕ НАЙДЕНО"	"NIC NIE ZNALEZIONO"	"10"	"0x000000000000000000000000"	"EXPSITE_02_TITLE"	"0x00000000"
"DLC2/PROG_LE0_CHOICE_0_TEXT"	"0x00000000"	"[null]"	"10"	"Perhaps she will join us when free."	"[null]"	"[null]"	"或许当她获得自由后会加入我们。"	"Elle nous rejoindra peut-être quand elle sera libre."	"Puede que se una a nosotros cuando esté libre."	"Forse si unirà a noi una volta libera."	"Womöglich schließt sie sich uns an, wenn sie befreit wurde."	"Возможно, она присоединится к нам, когда мы ее освободим."	"Może do nas dołączy, gdy odzyska wolność."	"10"	"0x000000000000000000000000"	"PROG_LE0_CHOICE_0_TEXT"	"0x00000000"
"DLC2/PROG_LE0_TEXT_GENERAL_0"	"0x00000000"	"[null]"	"10"	"Dr. Helena Lewandowski was considered to be the world's foremost scientist of pre-historic archaeology. We recently located her whereabouts at a secretive New Jericho facility, and we have reasons to believe she is held there against her will."	"[null]"	"[null]"	"海伦娜·莱万多夫斯基博士是世界上最杰出的史前考古学科学家。我们最近在新耶利哥的一个秘密设施中发现了她的行踪，而且我们有理由相信她是被强行关押在了那里。"	"Le Dr Helena Lewandowski était considérée comme la plus grande scientifique internationale dans le domaine de l'archéologie préhistorique. Nous avons récemment localisé sa position dans une installation secrète de la Nouvelle-Jéricho et nous avons des raisons de croire qu'elle y est retenue contre son gré."	"La Dra. Helena Lewandowski era considerada una de las científicas más importantes del mundo en el ámbito de la arqueología prehistórica. Hace poco localizamos su paradero en unas instalaciones secretas de Nueva Jericó y tenemos motivos para creer que está retenida en ese lugar en contra de su voluntad."	"La dott.ssa Helena Lewandowski era considerata la prima scienziata al mondo nell'abito dell'archeologia preistorica. Di recente abbiamo localizzato la sua posizione in una struttura riservata di Nuova Gerico, e abbiamo ragione di credere che la stiano trattenendo contro la sua volontà."	"Dr. Helena Lewandowski galt als eine der führendsten Wissenschaftlerinnen der prähistorischen Archäologie. Unlängst erfuhren wir von ihrem Aufenthaltsort in einer geheimen Anlage Neu-Jerichos, und wir haben Grund zur Annahme, dass sie dort gegen ihren Willen festgehalten wird."	"Доктор Хелена Левандовски считалась ведущим в мире ученым в области доисторической археологии. Недавно мы установили ее местонахождение на секретном объекте Нового Иерихона, и у нас есть основания полагать, что она содержится там против своей воли."	"Dr Helena Lewandowska jest uznana za największą specjalistkę od archeologii przedpotopowej na świecie. Niedawno udało nam się ją zlokalizować w ośrodku Nowego Jerycha. Sądzimy, że jest tam przetrzymywana wbrew swej woli."	"10"	"0x000000000000000000000000"	"PROG_LE0_TEXT_GENERAL_0"	"0x00000000"
"DLC2/PROG_LE0_TITLE"	"0x00000000"	"[null]"	"10"	"Stirring the Past"	"[null]"	"[null]"	"唤起往昔"	"Les remous du passé"	"Removiendo el pasado"	"Riscoprire il passato"	"Aufrühren der Vergangenheit"	"Бередить раны прошлого"	"Grzebanie w przeszłości"	"10"	"0x000000000000000000000000"	"PROG_LE0_TITLE"	"0x00000000"
"DLC2/PROG_LE1_CHOICE_0_TEXT"	"0x00000000"	"[null]"	"10"	"OK."	"[null]"	"[null]"	"好的。"	"D'accord."	"Vale."	"OK."	"Okay."	"ОК."	"OK."	"10"	"0x000000000000000000000000"	"PROG_LE1_CHOICE_0_TEXT"	"0x00000000"
"DLC2/PROG_LE1_FAIL_CHOICE_0_TEXT"	"0x00000000"	"[null]"	"10"	"Yes."	"[null]"	"[null]"	"是。"	"Oui."	"Sí."	"Sì."	"Ja."	"Да."	"Tak."	"10"	"0x000000000000000000000000"	"PROG_LE1_FAIL_CHOICE_0_TEXT"	"0x00000000"
"DLC2/PROG_LE1_FAIL_TEXT_GENERAL_0"	"0x00000000"	"[null]"	"10"	"The Phoenix Project can be deterred, but not stopped. We will try again."	"[null]"	"[null]"	"凤凰计划也许会受阻，但绝不会停滞不前。我们会再次尝试的。"	"Le Projet Phoenix peut être rebuté, mais pas arrêté. Nous réessaierons."	"Es posible disuadir al Proyecto Fénix, pero no detenerlo. Volveremos a intentarlo."	"Il Progetto Phoenix può essere intralciato, ma non fermato. Riproveremo."	"Das Phoenix-Projekt kann verzögert, aber nicht aufgehalten werden. Wir versuchen es erneut."	"Проект Феникс можно сдержать, но нельзя остановить. Мы попытаемся снова."	"Projekt Phoenix można odstraszyć, ale nie powstrzymać. Spróbujemy ponownie."	"10"	"0x000000000000000000000000"	"PROG_LE1_FAIL_TEXT_GENERAL_0"	"0x00000000"
"DLC2/PROG_LE1_FAIL_TITLE"	"0x00000000"	"[null]"	"10"	"The Mattock Denied"	"[null]"	"[null]"	"鹤嘴锄失败"	"Le hoyau refusé"	"El azadón perdido"	"Il Piccone negato"	"Die Hacke verweigert"	"Без кирки"	"Brak dostępu do oskarda"	"10"	"0x000000000000000000000000"	"PROG_LE1_FAIL_TITLE"	"0x00000000"
"DLC2/PROG_LE1_MISS_CHOICE_0_TEXT"	"0x00000000"	"[null]"	"10"	"START MISSION"	"[null]"	"[null]"	"开始任务"	"COMMENCER LA MISSION"	"EMPEZAR MISIÓN"	"AVVIA MISSIONE"	"MISSION STARTEN"	"НАЧАТЬ МИССИЮ"	"ROZPOCZNIJ MISJĘ"	"10"	"0x000000000000000000000000"	"PROG_LE1_MISS_CHOICE_0_TEXT"	"0x00000000"
"DLC2/PROG_LE1_MISS_CHOICE_1_TEXT"	"0x00000000"	"[null]"	"10"	"CANCEL"	"[null]"	"[null]"	"取消"	"ANNULER"	"CANCELAR"	"ANNULLA"	"ABBRECHEN"	"ОТМЕНА"	"ANULUJ"	"10"	"0x000000000000000000000000"	"PROG_LE1_MISS_CHOICE_1_TEXT"	"0x00000000"
