I2LT	Type D
0x00000000000000000000000001000000010000000B04000000000000	I2Languages_Research
0x000000000000000001000000
MainText	686
"Research/ANU_ACIDTECH_RESEARCHDEF_COMPLETE"	"0x00000000"	"[null]"	"10"	"This technology integrates the corrosive fluid produced by Acidworms into grenades and small caliber rounds. Although the process is entirely safe, a certain degree of caution in their use is nevertheless advised."	"[null]"	"该科技将酸蚀蠕虫产生的腐蚀性液体集成到手雷和小口径子弹中。虽然整个过程十分安全，但还是建议在使用时保持谨慎。"	"Les centres missionnaires d'Anu utilisent une variété unique de psilocybine, utilisée dans des aérosols grâce à un dispositif sophistiqué pour permettre ce que l'Exaltée décrit comme « un affranchissement des entraves de l'esprit humain. » Elle prétend que tout ceci permet aux gens de mieux percevoir la vérité du Dieu défunt, et de se convertir après une expérience personnelle plutôt qu'à cause d'une foi aveugle. Les plus critiques qualifient le processus comme un lavage de cerveau.[LF][LF]Une fois les centres missionnaires construits dans les refuges des Disciples d'Anu, leur champ d'influence s'étendra au fil du temps et attirera des convertis venant de refuges d'autres factions sous leur influence. Voilà qui contrariera beaucoup les autres factions, mais qui devrait grandement faire progresser les objectifs du culte.[LF][LF]En ce qui concerne le Projet Phoenix, utiliser cette technologie pourrait accélérer le recrutement. Ce n'est pas une approche très orthodoxe, mais l'expérience induite par les drogues semble faire abandonner à certains individus leur approche dogmatique pour adopter une perspective plus humaniste."	"Diese Technologie verwendet die korrosive Flüssigkeit, die von Säurewürmern produziert wird, in Granaten und Kleinkalibermunition. Obwohl der Prozess völlig sicher ist, wird dennoch eine gewisse Vorsicht bei der Nutzung empfohlen."	"Questa tecnologia integra nelle granate e nelle munizioni di piccolo calibro il fluido corrosivo prodotto dai vermi acidi. Il processo è assolutamente sicuro, ma si raccomanda comunque la giusta dose di cautela durante l'uso."	"Ta technologia została opracowana po to, aby wykorzystać żrący płyn produkowany przez Kwasoglizdy do produkcji granatów i pocisków mniejszego kalibru. Chociaż sam proces jest całkowicie bezpieczny, podczas ich użytkowania i tak zaleca się zachowanie odpowiedniej ostrożności."	"Эта технология преобразовывает едкую жидкость, которую выделяют кислотные черви, в гранаты и патроны малого калибра. Хотя процесс полностью безопасен, настоятельно рекомендуется соблюдать определенную осторожность при обращении с таким оружием."	"Esta tecnología añade el fluido corrosivo que producen los Gusanos ácidos a las granadas y los cartuchos de calibre pequeño. Aunque el proceso de integración sea completamente seguro, siempre se aconseja precaución en a la hora de manipularla."	"Les centres missionnaires d'Anu utilisent une variété unique de psilocybine, utilisée dans des aérosols grâce à un dispositif sophistiqué pour permettre ce que l'Exaltée décrit comme « un affranchissement des entraves de l'esprit humain. » Elle prétend que tout ceci permet aux gens de mieux percevoir la vérité du Dieu défunt, et de se convertir après une expérience personnelle plutôt qu'à cause d'une foi aveugle. Les plus critiques qualifient le processus comme un lavage de cerveau.[LF][LF]Une fois les centres missionnaires construits dans les refuges des Disciples d'Anu, leur champ d'influence s'étendra au fil du temps et attirera des convertis venant de refuges d'autres factions sous leur influence. Voilà qui contrariera beaucoup les autres factions, mais qui devrait grandement faire progresser les objectifs du culte.[LF][LF]En ce qui concerne le Projet Phoenix, utiliser cette technologie pourrait accélérer le recrutement. Ce n'est pas une approche très orthodoxe, mais l'expérience induite par les drogues semble faire abandonner à certains individus leur approche dogmatique pour adopter une perspective plus humaniste."	"10"	"0x000000000000000000000000"	"ANU_ACIDTECH_RESEARCHDEF_COMPLETE"	"0x00000000"
"Research/ANU_ACIDTECH_RESEARCHDEF_NAME"	"0x00000000"	"[null]"	"10"	"Acid Weapons Technology"	"[null]"	"酸蚀武器科技"	"Technologie d'armes acides"	"Säurewaffentechnologie"	"Tecnologia per le armi acide"	"Technologia broni kwasowej"	"Технология кислотного оружия"	"Tecnología de armas ácidas"	"Tecnologia per le armi acide"	"10"	"0x000000000000000000000000"	"ANU_ACIDTECH_RESEARCHDEF_NAME"	"0x00000000"
"Research/ANU_ACIDTECH_RESEARCHDEF_UNLOCK"	"0x00000000"	"[null]"	"10"	"The acid produced by some of the Pandoran organisms can be used to develop weapons capable of burning through enemy armor."	"[null]"	"一些潘多拉体产生的酸蚀物质可以用来制造能够烧穿敌人盔甲的武器。"	"L'acide produit par certains organismes Pandoriens peut être utilisé pour créer des armes capables de dissoudre le blindage ennemi."	"Mit der Säure, die einige der Pandoraner-Organismen produzieren, kann man Waffen entwickeln, die sich durch feindliche Rüstung durchfressen."	"L'acido prodotto da alcuni organismi Pandora può essere utilizzato per sviluppare armi capaci di corrodere l'armatura nemica, trapassandola."	"Kwas produkowany przez niektóre z pandorańskich organizmów można wykorzystać do opracowania broni zdolnej przepalać pancerz przeciwnika na wylot."	"Кислота, которую вырабатывают некоторые пандоранские организмы, может использоваться для разработки оружия, способного прожигать броню противника."	"El ácido que producen algunos organismos pandorianos se puede usar para desarrollar armas capaces de quemar a través de la armadura enemiga."	"Кислота, которую вырабатывают некоторые пандоранские организмы, может использоваться для разработки оружия, способного прожигать броню противника."	"10"	"0x000000000000000000000000"	"ANU_ACIDTECH_RESEARCHDEF_UNLOCK"	"0x00000000"
"Research/ANU_ADVANCEDBLIMP_RESEARCHDEF_BENEFITS"	"0x00000000"	"[null]"	"10"	"Anu Tiamat range has been increased by 25%."	"[null]"	"安努迪亚马特射程提高了 25%。"	"La portée d'Anu Tiamat a été augmentée de 25 %."	"Die Anu-Tiamat-Reichweite wurde um 25 % erhöht."	"La portata del Tiamat Anu viene aumentata del 25%."	"Zasięg Tiamaty Anu został zwiększony o 25%."	"Дальность полета «Тиамата» Ану увеличена на 25%."	"El alcance del Tiamat Anu aumenta un 25 %."	"La portata del Tiamat Anu viene aumentata del 25%."	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDBLIMP_RESEARCHDEF_BENEFITS"	"0x00000000"
"Research/ANU_ADVANCEDBLIMP_RESEARCHDEF_COMPLETE"	"0x00000000"	"[null]"	"10"	"The Tiamat dirigible has undergone extensive mutation, eliminating most of the design flaws in the previous iteration. Its range has been increased significantly."	"[null]"	"迪亚马特飞船经过多次变异，消除了先前迭代中的大多数设计缺陷。它的射程已显著增加。"	"Le dirigeable Tiamat a subi une mutation élaborée pour éliminer la plupart des défauts de fabrications de ses versions antérieures. Sa portée a été considérablement augmentée."	"Das Tiamat-Luftschiff hat umfangreiche Mutationen durchlaufen, wodurch die meisten Konstruktionsfehler in der vorherigen Version beseitigt wurden. Seine Reichweite wurde deutlich erhöht."	"Il dirigibile Tiamat ha subito una trasformazione completa che ha eliminato gran parte dei difetti di progettazione presenti nella versione precedente. La sua portata è stata notevolmente aumentata."	"Sterowiec Tiamat został podany dogłębnej mutacji, w ramach której wyeliminowano większość wad konstrukcyjnych poprzedniej wersji. Jego zasięg został znacznie zwiększony."	"Дирижабль «Тиамат» претерпел обширную мутацию, в ходе которой была устранена большая часть конструктивных дефектов его предыдущей итерации. Дальность полета значительно увеличилась."	"El dirigible Tiamat ha experimentado mutaciones importantes; se ha eliminado la mayoría de defectos que tenía su iteración previa. Su alcance ha aumentado mucho."	"Il dirigibile Tiamat ha subito una trasformazione completa che ha eliminato gran parte dei difetti di progettazione presenti nella versione precedente. La sua portata è stata notevolmente aumentata."	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDBLIMP_RESEARCHDEF_COMPLETE"	"0x00000000"
"Research/ANU_ADVANCEDBLIMP_RESEARCHDEF_NAME"	"0x00000000"	"[null]"	"10"	"Advanced Tiamat Development"	"[null]"	"高级迪亚马特研发"	"Développement avancé du Tiamat"	"Fortgeschrittene Tiamat-Entwicklung"	"Sviluppo avanzato del Tiamat"	"Zaawansowane prace nad Tiamatą"	"Передовая разработка «Тиамата»"	"Desarrollo de Tiamat avanzado"	"Fortgeschrittene Tiamat-Entwicklung"	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDBLIMP_RESEARCHDEF_NAME"	"0x00000000"
"Research/ANU_ADVANCEDBLIMP_RESEARCHDEF_UNLOCK"	"0x00000000"	"[null]"	"10"	"The Tiamat dirigible has a number of design flaws in its DNA. Eliminating them would make it faster and more maneuverable."	"[null]"	"迪亚马特飞船在它的 DNA 中有许多设计缺陷。消除缺陷会使飞船速度更快，且更易操作。"	"L'ADN du dirigeable Tiamat dispose de certains défauts. Les éliminer le rendrait plus rapide et plus maniable."	"Das Tiamat-Luftschiff enthält eine Reihe von Konstruktionsfehlern in seiner DNA. Es wäre schneller und könnte besser manövriert werden, gäbe es sie nicht mehr."	"Il dirigibile Tiamat ha svariati difetti di progettazione nel suo DNA. Eliminandoli lo si può rendere più veloce e manovrabile."	"W DNA sterowca Tiamat występuje wiele wad konstrukcyjnych. Ich wyeliminowanie sprawiłoby, że sterowiec byłby szybszy i łatwiej byłoby nim manewrować."	"В ДНК дирижабля «Тиамат» содержится ряд конструктивных дефектов. Если их устранить, он бы стал более быстрым и маневренным."	"El dirigible Tiamat tiene varios errores de diseño en su ADN. Si se eliminasen, sería más rápido y más fácil de manejar."	"Das Tiamat-Luftschiff enthält eine Reihe von Konstruktionsfehlern in seiner DNA. Es wäre schneller und könnte besser manövriert werden, gäbe es sie nicht mehr."	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDBLIMP_RESEARCHDEF_UNLOCK"	"0x00000000"
"Research/ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_COMPLETE"	"0x00000000"	"[null]"	"10"	"The Subjugator is a new high-velocity rifle employing a more evolved version of the Anu combat virus, capable of easily infecting enemies at a distance. This powerful weapon is a step forward in viral warfare."	"[null]"	"统御者是一种新型高速步枪，采用安努战斗病毒升级版，能够轻易地感染远处的敌人。这种强大的武器将病毒战推向了一个新阶段。"	"Le Dominateur est un fusil à haute vélocité utilisant une version améliorée du virus de combat Anu, capable d'infecter les ennemis à distance. Cette arme puissante est un grand pas en avant en matière d'armements viraux."	"Der Unterwerfer ist ein neues Hochgeschwindigkeitsgewehr, das eine weiterentwickelte Version des Anu-Kampfvirus verwendet und in der Lage ist, Feinde aus der Ferne leicht zu infizieren. Diese mächtige Waffe ist ein weiterer Schritt in Richtung viraler Kriegsführung."	"Il Soggiogatore è un nuovo fucile ad alta velocità alla bocca che utilizza una versione più evoluta del virus da combattimento Anu, capace di infettare facilmente i nemici a distanza. Questa potente arma è un deciso passo avanti nella guerra virale."	"Zdobywca to nowy karabin szybkostrzelny, w którym wykorzystano bardziej zaawansowaną wersję wirusa bojowego Anu zdolnego do zakażania przeciwników z dystansu. Ta potężna broń to kamień milowy w rozwoju broni wirusowej."	"«Поработитель» — это новая высокоскоростная винтовка, в которой используется более развитая версия боевого вируса Ану, способная легко поразить врага на расстоянии. Это мощное оружие представляет собой шаг вперед в вирусной стратегии ведения войны."	"El Dominador es un nuevo rifle de alta velocidad que usa una versión evolucionada del virus de combate Anu y que es capaz de infectar fácilmente a los enemigos a distancia. Esta poderosa arma nos acerca a la guerra vírica."	"Der Unterwerfer ist ein neues Hochgeschwindigkeitsgewehr, das eine weiterentwickelte Version des Anu-Kampfvirus verwendet und in der Lage ist, Feinde aus der Ferne leicht zu infizieren. Diese mächtige Waffe ist ein weiterer Schritt in Richtung viraler Kriegsführung."	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_COMPLETE"	"0x00000000"
"Research/ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_NAME"	"0x00000000"	"[null]"	"10"	"Advanced Viral Weapons"	"[null]"	"高级病毒武器"	"Armements viraux avancés"	"Fortgeschrittene virale Waffen"	"Armi virali avanzate"	"Zaawansowana broń wirusowa"	"Передовое вирусное оружие"	"Armas víricas avanzadas"	"Fortgeschrittene virale Waffen"	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_NAME"	"0x00000000"
"Research/ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_UNLOCK"	"0x00000000"	"[null]"	"10"	"The development of more powerful and accurate viral weapons is essential to defeating the Pandorans on their own turf."	"[null]"	"想要在潘多拉体的地盘上将其击败，研发更强大且更精准的病毒武器是关键。"	"Le développement d'armements viraux plus puissants et plus précis est indispensable pour battre les Pandoriens à leur propre jeu."	"Die Entwicklung mächtigerer und genauerer viraler Waffen ist entscheidend, um die Pandoraner auf ihrem eigenen Spielfeld zu besiegen."	"Lo sviluppo di armi virali più avanzate e precise è fondamentale per sconfiggere i Pandora sul loro stesso terreno."	"Opracowanie potężniejszych i precyzyjniejszych broni wirusowych ma kluczowe znaczenie, jeżeli chcemy pokonać Pandoran na ich własnym polu."	"Разработка более мощного и точного вирусного оружия необходима для победы над пандоранами на их территории."	"El desarrollo de armas víricas más poderosas y precisas es fundamental para derrotar a los pandorianos en su propio territorio."	"Opracowanie potężniejszych i precyzyjniejszych broni wirusowych ma kluczowe znaczenie, jeżeli chcemy pokonać Pandoran na ich własnym polu."	"10"	"0x000000000000000000000000"	"ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_UNLOCK"	"0x00000000"
