I2LT	Type D
0x00000000000000000000000001000000010000002404000000000000	I2Languages_CharNames
0x000000000000000001000000
MainText	1309
"Names/KEY_FAMILY_NAME_AADLI"	"0x00000000"	"[null]"	"9"	"ハワード"	"[null]"	"霍华德"	"Howard"	"Howard"	"Howard"	"Howard"	"Говард"	"Howard"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_AADLI"	"0x00000000"
"Names/KEY_FAMILY_NAME_AALTO"	"0x00000000"	"[null]"	"9"	"アールト"	"[null]"	"阿尔托"	"Aalto"	"Aalto"	"Aalto"	"Aalto"	"Аалто"	"Aalto"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_AALTO"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABASI"	"0x00000000"	"[null]"	"9"	"アバシ"	"[null]"	"阿巴西"	"Abasi"	"Abasi"	"Abasi"	"Abasi"	"Абаси"	"Abasi"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABASI"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABAZA"	"0x00000000"	"[null]"	"9"	"アバザ"	"[null]"	"阿巴扎"	"Abaza"	"Abaza"	"Abaza"	"Abaza"	"Абаза"	"Abaza"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABAZA"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABBASOV"	"0x00000000"	"[null]"	"9"	"アバソフ"	"[null]"	"阿巴索夫"	"Abbasov"	"Abbasov"	"Abbasov"	"Abbasov"	"Аббасов"	"Abbasov"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABBASOV"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABDALLAH"	"0x00000000"	"[null]"	"9"	"アブダラ"	"[null]"	"阿卜杜拉"	"Abdallah"	"Abdallah"	"Abdallah"	"Abdallah"	"Абдаллах"	"Abdallah"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABDALLAH"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABDOU"	"0x00000000"	"[null]"	"9"	"アブドゥ"	"[null]"	"阿卜杜"	"abdou"	"Abdou"	"Abdou"	"Abdou"	"Абду"	"Abdou"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABDOU"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABDUL"	"0x00000000"	"[null]"	"9"	"アブドゥル"	"[null]"	"阿卜杜勒"	"Abdul"	"Abdul"	"abdul"	"Abdul"	"Абдул"	"Abdul"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABDUL"	"0x00000000"
"Names/KEY_FAMILY_NAME_ABREU"	"0x00000000"	"[null]"	"9"	"アブレイユ"	"[null]"	"阿布雷乌"	"Abreu"	"Abreu"	"Abreu"	"Abreu"	"Абреу"	"Abreu"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ABREU"	"0x00000000"
"Names/KEY_FAMILY_NAME_ACHARYA"	"0x00000000"	"[null]"	"9"	"アチャリヤ"	"[null]"	"阿查里雅"	"Acharya"	"Acharya"	"Acharya"	"Acharya"	"Ачарья"	"Acharya"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ACHARYA"	"0x00000000"
"Names/KEY_FAMILY_NAME_ACOSTA"	"0x00000000"	"[null]"	"9"	"アコスタ"	"[null]"	"阿科斯塔"	"Acosta"	"Acosta"	"Acosta"	"Acosta"	"Акоста"	"Acosta"	"9"	"0x000000000000000000000000"	"KEY_FAMILY_NAME_ACOSTA"	"0x00000000"
